 ,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
Coding,3,,2.5,,,2,,Time spent >,7.5
Working on Startup,3,,,,,,,Time spent >,3
SW/Studying,1.5,,2.5,,,2.5,3.5,Time spent >,10
Blender,,,,,,,,Time spent >,0
Tweets,,,,,,1,,Tweets >,1
Replies,2,8,,,,2,,Tweets >,12
