 ,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
Coding,,,,,1.5,1,,Time spent >,2.5
Working on Startup,,,,,1.5,1,,Time spent >,2.5
SW/Studying,0.5,,1,,,5,,Time spent >,6.5
Blender,,,,,,,,Time spent >,0
Tweets,,,,,,,,Tweets >,0
Replies,,,,,,2,1,Tweets >,3
