 ,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
Coding,,,1.5,1.5,0.5,2,,Time spent >,5.5
Working on Startup,,,1.5,1.5,0.5,2,,Time spent >,5.5
SW/Studying,2,,,,,,,Time spent >,2
Blender,,,,,,,,Time spent >,0
