 ,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
Coding,,,,,,1,2,Time spent >,3
Working on Startup,,,,,,1,2,Time spent >,3
SW/Studying,,,,,,,,Time spent >,0
Blender,,,,,,,,Time spent >,0
